season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2024,1,1,CHI,00-0039918,WillCa03,caleb-williams-3,Caleb Williams,False,QB,QB,O,USC,22.0,2025.0,0,0,1,12.0,,12.0,18.0,372.0,597.0,3751.0,21.0,6.0,87.0,547.0,1.0,0.0,0.0,0.0,,,
2024,1,2,WAS,00-0039910,DaniJa02,jayden-daniels-1,Jayden Daniels,False,QB,QB,O,LSU,23.0,2025.0,0,1,1,20.0,,20.0,18.0,350.0,510.0,3801.0,26.0,9.0,159.0,959.0,6.0,0.0,0.0,0.0,,,
2024,1,3,NWE,00-0039851,MayeDr00,drake-maye-1,Drake Maye,False,QB,QB,O,North Carolina,22.0,2025.0,0,1,1,8.0,,8.0,14.0,255.0,384.0,2563.0,16.0,11.0,58.0,432.0,2.0,1.0,2.0,0.0,,,
2024,1,4,ARI,00-0039849,HarrMa09,marvin-harrison-jr-1,Marvin Harrison Jr.,False,WR,WR,O,Ohio St.,22.0,2025.0,0,0,1,8.0,,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,956.0,9.0,,,
2024,1,5,LAC,,AltxJo01,joe-alt-1,Joe Alt,False,OL,OL,O,Notre Dame,21.0,2025.0,0,0,1,8.0,,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,1,6,NYG,00-0039337,NabeMa00,malik-nabers-1,Malik Nabers,False,WR,WR,O,LSU,21.0,2025.0,0,1,1,9.0,,9.0,16.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,114.0,1275.0,7.0,,,
2024,1,7,TEN,,LathJC00,jc-latham-1,JC Latham,False,OL,OL,O,Alabama,21.0,2025.0,0,0,1,7.0,,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,
2024,1,8,ATL,00-0039917,PeniMi00,michael-penix-jr-1,Michael Penix,False,QB,QB,O,Washington,24.0,2025.0,0,0,0,2.0,,2.0,6.0,88.0,147.0,1073.0,4.0,3.0,13.0,32.0,2.0,0.0,0.0,0.0,,,
2024,1,9,CHI,00-0039919,OdunRo00,rome-odunze-1,Rome Odunze,False,WR,WR,O,Washington,22.0,2025.0,0,0,1,6.0,,6.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,60.0,771.0,4.0,,,
2024,1,10,MIN,00-0039923,McCaJJ00,jj-mccarthy-1,J.J. McCarthy,False,QB,QB,O,Michigan,21.0,2025.0,0,0,0,0.0,,0.0,1.0,13.0,20.0,143.0,2.0,1.0,2.0,25.0,1.0,0.0,0.0,0.0,,,
2024,1,11,NYJ,,FashOl00,olu-fashanu-1,Olumuyiwa Fashanu,False,OL,OL,O,Penn St.,21.0,2025.0,0,0,0,4.0,,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,1,12,DEN,00-0039732,NixxBo00,bo-nix-1,Bo Nix,False,QB,QB,O,Oregon,24.0,2025.0,0,0,1,13.0,,13.0,18.0,401.0,607.0,3951.0,30.0,14.0,100.0,448.0,4.0,1.0,2.0,1.0,,,
2024,1,13,LVR,00-0039338,BoweBr01,brock-bowers-1,Brock Bowers,False,TE,TE,O,Georgia,21.0,2025.0,1,1,1,9.0,,9.0,18.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,117.0,1297.0,5.0,,,
2024,1,14,NOR,,FuagTa00,taliese-fuaga-1,Taliese Fuaga,False,OL,OL,O,Oregon St.,22.0,2025.0,0,0,1,8.0,,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,1,15,IND,00-0039340,LatuLa00,laiatu-latu-1,Laiatu Latu,False,DL,DL,D,UCLA,23.0,2025.0,0,0,0,2.0,,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0
2024,1,16,SEA,00-0039309,MurpBy01,byron-murphy-ii-1,Byron Murphy,False,DL,DL,D,Texas,21.0,2025.0,0,0,0,5.0,,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,0.5
2024,1,17,MIN,00-0039924,TurnDa01,dallas-turner-1,Dallas Turner,False,LB,LB,D,Alabama,21.0,2025.0,0,0,0,2.0,,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0
2024,1,18,CIN,,MimsAm00,amarius-mims-1,Amarius Mims,False,OL,OL,O,Georgia,21.0,2025.0,0,0,1,8.0,,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,1,19,LAR,00-0039852,VersJa00,jared-verse-1,Jared Verse,False,DL,DL,D,Florida St.,23.0,2025.0,0,1,1,10.0,,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,,4.5
2024,1,20,PIT,,FautTr00,troy-fautanu-1,Troy Fautanu,False,OL,OL,O,Washington,23.0,2025.0,0,0,0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,1,21,MIA,00-0039911,RobiCh00,demeioun-robinson-1,Chop Robinson,False,DE,DL,D,Penn St.,21.0,2025.0,0,0,0,2.0,,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,6.0
2024,1,22,PHI,00-0039888,MitcQu00,quinyon-mitchell-1,Quinyon Mitchell,False,CB,DB,D,Toledo,23.0,2025.0,0,0,1,6.0,,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,
2024,1,23,JAX,00-0039893,ThomBr06,brian-thomas-jr-1,Brian Thomas,False,WR,WR,O,LSU,21.0,2025.0,0,1,1,11.0,,11.0,18.0,0.0,0.0,0.0,0.0,0.0,7.0,57.0,1.0,88.0,1293.0,10.0,,,
2024,1,24,DET,00-0039903,ArnoTe00,terrion-arnold-1,Terrion Arnold,False,DB,DB,D,Alabama,21.0,2025.0,0,0,1,5.0,,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,
2024,1,25,GNB,,MorgJo03,jordan-morgan-3,Jordan Morgan,False,OL,OL,O,Arizona,23.0,2025.0,0,0,0,1.0,,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,1,26,TAM,,BartGr00,graham-barton-1,Graham Barton,False,OL,OL,O,Duke,22.0,2025.0,0,0,1,8.0,,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,1,27,ARI,00-0039854,RobiDa01,darius-robinson-2,Darius Robinson,False,DL,DL,D,Missouri,22.0,2025.0,0,0,0,0.0,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,1.0
2024,1,28,KAN,00-0039894,WortXa00,xavier-worthy-1,Xavier Worthy,False,WR,WR,O,Texas,21.0,2025.0,0,0,1,7.0,,7.0,18.0,0.0,0.0,0.0,0.0,0.0,21.0,104.0,3.0,59.0,638.0,6.0,,,
2024,1,29,DAL,,GuytTy00,tyler-guyton-1,Tyler Guyton,False,OL,OL,O,Oklahoma,23.0,2025.0,0,0,1,4.0,,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,1,30,BAL,00-0039232,WiggNa00,nate-wiggins-1,Nate Wiggins,False,CB,DB,D,Clemson,21.0,2025.0,0,0,0,2.0,,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,
2024,1,31,SFO,00-0039916,PearRi00,ricky-pearsall-1,Ricky Pearsall,False,WR,WR,O,Florida,23.0,2025.0,0,0,0,3.0,,3.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,45.0,0.0,35.0,508.0,3.0,,,
2024,1,32,CAR,00-0039342,LegeXa00,xavier-legette-1,Xavier Legette,False,WR,WR,O,South Carolina,23.0,2025.0,0,0,1,5.0,,5.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,0.0,52.0,507.0,4.0,,,
2024,2,33,BUF,00-0039901,ColeKe02,keon-coleman-1,Keon Coleman,False,WR,WR,O,Florida St.,21.0,2025.0,0,0,1,7.0,,7.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,37.0,668.0,5.0,,,
2024,2,34,LAC,00-0039915,McCoLa00,ladd-mcconkey-1,Ladd McConkey,False,WR,WR,O,Georgia,22.0,2025.0,0,0,1,11.0,,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1223.0,7.0,,,
2024,2,35,ATL,00-0039733,OrhoRu00,ruke-orhorhoro-1,Ruke Orhorhoro,False,DT,DL,D,Clemson,22.0,2025.0,0,0,0,1.0,,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,
2024,2,36,WAS,00-0039906,NewtJe00,jerzhan-newton-1,Jer'Zhan Newton,False,DL,DL,D,Illinois,22.0,2025.0,0,0,0,5.0,,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,2.0
2024,2,37,NWE,00-0039907,PolkJa00,jalynn-polk-1,Ja'Lynn Polk,False,WR,WR,O,Washington,22.0,2024.0,0,0,1,1.0,,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,87.0,2.0,,,
2024,2,38,TEN,00-0039886,SweaTV01,tvondre-sweat-1,T'Vondre Sweat,False,DL,DL,D,Texas,23.0,2025.0,0,0,1,7.0,,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,,1.0
2024,2,39,LAR,00-0039734,FiskBr00,braden-fiske-1,Braden Fiske,False,DL,DL,D,Florida St.,24.0,2025.0,0,0,0,5.0,,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,8.5
2024,2,40,PHI,00-0039841,DeJeCo00,cooper-dejean-1,Cooper DeJean,False,DB,DB,D,Iowa,21.0,2025.0,0,0,0,5.0,,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,,0.5
2024,2,41,NOR,00-0039860,McKiKo00,kool-aid-mckinstry-1,Kool-Aid McKinstry,False,DB,DB,D,Alabama,21.0,2025.0,0,0,0,3.0,,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,,
2024,2,42,HOU,00-0039343,LassKa00,kamari-lassiter-1,Kamari Lassiter,False,DB,DB,D,Georgia,21.0,2025.0,0,0,1,5.0,,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,3.0,
2024,2,43,ARI,00-0039807,MeltMa00,max-melton-1,Max Melton,False,DB,DB,D,Rutgers,22.0,2025.0,0,0,0,2.0,,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,
2024,2,44,LVR,,PoweJa00,jackson-powers-johnson-1,Jackson Powers-Johnson,False,OL,OL,O,Oregon,21.0,2025.0,0,0,1,4.0,,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,2,45,GNB,00-0039850,CoopEd00,edgerrin-cooper-1,Edgerrin Cooper,False,LB,LB,D,Texas A&M,22.0,2025.0,0,0,0,4.0,,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,3.5
2024,2,46,CAR,00-0039344,BrooJo02,jonathon-brooks-1,Jonathon Brooks,False,RB,RB,O,Texas,21.0,2024.0,0,0,0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,0.0,3.0,23.0,0.0,,,
2024,2,47,NYG,00-0039861,NubiTy00,tyler-nubin-1,Tyler Nubin,False,DB,DB,D,Minnesota,23.0,2025.0,0,0,1,5.0,,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,,
2024,2,48,JAX,00-0039889,SmitMa07,maason-smith-1,Maason Smith,False,DT,DL,D,LSU,21.0,2024.0,0,0,0,2.0,,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,3.0
